close,high,low,open,volume,baseVolume,datetime
11865.91,11865.92,11860.06,11860.18,160329.0909,16.3,2020-08-17 02:28:47
11865.29,11865.92,11860.06,11860.18,160358.5411,17.0,2020-08-17 02:28:49
11865.08,11865.92,11860.06,11860.18,160394.2194,17.94,2020-08-17 02:28:51
11865.08,11865.92,11860.06,11860.18,163960.6163,18.24,2020-08-17 02:28:54
11864.91,11865.92,11860.06,11860.18,171658.6488,19.27,2020-08-17 02:28:56
11864.91,11865.92,11860.06,11860.18,176847.7791,19.71,2020-08-17 02:28:59
11864.72,11865.92,11860.06,11860.18,176847.7791,19.71,2020-08-17 02:29:00
11866.52,11866.53,11864.73,11864.73,83241.6739,7.13,2020-08-17 02:29:02
11866.02,11866.53,11864.73,11864.73,87890.4659,7.94,2020-08-17 02:29:04
11866.54,11866.54,11864.73,11864.73,94957.2302,8.79,2020-08-17 02:29:06
11868.9,11870.29,11864.73,11864.73,112661.2387,10.44,2020-08-17 02:29:08
11869.5,11870.29,11864.73,11864.73,112890.4205,11.18,2020-08-17 02:29:10
11868.91,11870.29,11864.73,11864.73,125212.7868,14.11,2020-08-17 02:29:13
11868.0,11870.29,11864.73,11864.73,142134.1073,16.12,2020-08-17 02:29:15
11868.0,11870.29,11864.73,11864.73,174386.3038,18.85,2020-08-17 02:29:17
11868.62,11870.29,11864.73,11864.73,189747.5992,20.53,2020-08-17 02:29:19
11868.62,11870.29,11864.73,11864.73,190610.2824,20.63,2020-08-17 02:29:22
11868.62,11870.29,11864.73,11864.73,196831.4622,21.24,2020-08-17 02:29:24
11868.64,11870.29,11864.73,11864.73,198178.7298,21.6,2020-08-17 02:29:26
11868.77,11870.29,11864.73,11864.73,198372.0117,21.8,2020-08-17 02:29:28
11869.0,11870.29,11864.73,11864.73,198809.9998,22.02,2020-08-17 02:29:31
11870.32,11870.47,11864.73,11864.73,200093.5152,22.67,2020-08-17 02:29:33
11870.17,11870.47,11864.73,11864.73,200153.2224,23.07,2020-08-17 02:29:35
11870.16,11870.47,11864.73,11864.73,200185.6161,23.1,2020-08-17 02:29:37
11869.75,11870.47,11864.73,11864.73,201959.1857,23.36,2020-08-17 02:29:39
11869.03,11870.47,11864.73,11864.73,202196.7327,23.71,2020-08-17 02:29:42
11869.04,11870.47,11864.73,11864.73,209664.8869,24.33,2020-08-17 02:29:44
11869.03,11870.47,11864.73,11864.73,210468.9076,24.69,2020-08-17 02:29:46
